time_sec,frame_idx,pred,pg,pb,saved_path
0.200,6,0,0.0060,0.9940,
0.400,12,0,0.0044,0.9956,
0.600,18,0,0.0065,0.9935,
0.800,24,0,0.0054,0.9946,
1.000,30,0,0.0053,0.9947,
1.200,36,0,0.0058,0.9942,
1.400,42,0,0.0062,0.9938,
1.600,48,0,0.0059,0.9941,
1.800,54,0,0.0065,0.9935,
2.000,60,0,0.0074,0.9926,
2.200,66,0,0.0067,0.9933,
2.400,72,0,0.0073,0.9927,
2.600,78,0,0.0076,0.9924,
2.800,84,0,0.0062,0.9938,
3.000,90,0,0.0071,0.9929,
3.200,96,0,0.0066,0.9934,
3.400,102,0,0.0060,0.9940,
3.600,108,0,0.0056,0.9944,
3.800,114,0,0.0049,0.9951,
4.000,120,0,0.0051,0.9949,
4.200,126,0,0.0051,0.9949,
4.400,132,0,0.0051,0.9949,
4.600,138,0,0.0070,0.9930,
4.800,144,0,0.0066,0.9934,
5.000,150,0,0.0050,0.9950,
5.200,156,0,0.0060,0.9940,
5.400,162,0,0.0057,0.9943,
5.600,168,0,0.0053,0.9947,
5.800,174,0,0.0070,0.9930,
6.000,180,0,0.0065,0.9935,
6.200,186,0,0.0056,0.9944,
6.400,192,0,0.0117,0.9883,
6.600,198,0,0.1423,0.8577,
6.800,204,0,0.0004,0.9996,
7.000,210,0,0.0000,1.0000,
7.200,216,0,0.0000,1.0000,
7.400,222,0,0.0000,1.0000,
7.600,228,0,0.0001,0.9999,
7.800,234,0,0.0005,0.9995,
8.000,240,1,1.0000,0.0000,pth_video_preview\GOOD_t00008.00_f0000240_pg1.000.jpg
8.200,246,1,1.0000,0.0000,
8.400,252,0,0.0566,0.9434,
8.600,258,0,0.0000,1.0000,
8.800,264,0,0.0000,1.0000,
9.000,270,0,0.0000,1.0000,
9.200,276,0,0.0000,1.0000,
9.400,282,0,0.0022,0.9978,
9.600,288,0,0.0049,0.9951,
9.800,294,1,1.0000,0.0000,pth_video_preview\GOOD_t00009.80_f0000294_pg1.000.jpg
10.000,300,1,1.0000,0.0000,
10.200,306,0,0.0821,0.9179,
10.400,312,0,0.0093,0.9907,
10.600,318,0,0.0021,0.9979,
10.800,324,0,0.0009,0.9991,
11.000,330,0,0.0003,0.9997,
11.200,336,0,0.0001,0.9999,
11.400,342,0,0.0006,0.9994,
11.600,348,0,0.0050,0.9950,
11.800,354,0,0.0098,0.9902,
12.000,360,0,0.0220,0.9780,
12.200,366,0,0.0059,0.9941,
12.400,372,0,0.0063,0.9937,
12.600,378,0,0.0064,0.9936,
12.800,384,0,0.0063,0.9937,
13.000,390,0,0.0065,0.9935,
13.200,396,0,0.0072,0.9928,
13.400,402,0,0.0074,0.9926,
13.600,408,0,0.0068,0.9932,
13.800,414,0,0.0072,0.9928,
14.000,420,0,0.0081,0.9919,
14.200,426,0,0.0076,0.9924,
14.400,432,0,0.0056,0.9944,
14.600,438,0,0.0062,0.9938,
14.800,444,0,0.0071,0.9929,
15.000,450,0,0.0081,0.9919,
15.200,456,0,0.0070,0.9930,
15.400,462,0,0.0066,0.9934,
15.600,468,0,0.0065,0.9935,
15.800,474,0,0.0074,0.9926,
16.000,480,0,0.0074,0.9926,
16.200,486,0,0.0067,0.9933,
16.400,492,0,0.0069,0.9931,
16.600,498,0,0.0074,0.9926,
16.800,504,0,0.0079,0.9921,
17.000,510,0,0.0076,0.9924,
17.200,516,0,0.0057,0.9943,
17.400,522,0,0.0066,0.9934,
17.600,528,0,0.0064,0.9936,
17.800,534,0,0.0083,0.9917,
18.000,540,0,0.0079,0.9921,
18.200,546,0,0.0059,0.9941,
18.400,552,0,0.0072,0.9928,
18.600,558,0,0.0069,0.9931,
18.800,564,0,0.0069,0.9931,
19.000,570,0,0.0063,0.9937,
19.200,576,0,0.0066,0.9934,
19.400,582,0,0.0066,0.9934,
19.600,588,0,0.0063,0.9937,
19.800,594,0,0.0064,0.9936,
20.000,600,0,0.0049,0.9951,
20.200,606,0,0.0070,0.9930,
20.400,612,0,0.0072,0.9928,
20.600,618,0,0.0066,0.9934,
20.800,624,0,0.0074,0.9926,
21.000,630,0,0.0067,0.9933,
21.200,636,0,0.0063,0.9937,
21.400,642,0,0.0058,0.9942,
21.600,648,0,0.0063,0.9937,
21.800,654,0,0.0076,0.9924,
22.000,660,0,0.0066,0.9934,
22.200,666,0,0.0056,0.9944,
22.400,672,0,0.0062,0.9938,
22.600,678,0,0.0065,0.9935,
22.800,684,0,0.0063,0.9937,
23.000,690,0,0.0068,0.9932,
23.200,696,0,0.0071,0.9929,
23.400,702,0,0.0059,0.9941,
23.600,708,0,0.0064,0.9936,
23.800,714,0,0.0057,0.9943,
24.000,720,0,0.0056,0.9944,
24.200,726,0,0.0061,0.9939,
24.400,732,0,0.0040,0.9960,
24.600,738,0,0.0530,0.9470,
24.800,744,0,0.0008,0.9992,
25.000,750,0,0.0001,0.9999,
25.200,756,0,0.0001,0.9999,
25.400,762,0,0.0000,1.0000,
25.600,768,0,0.0001,0.9999,
25.800,774,0,0.0063,0.9937,
26.000,780,1,1.0000,0.0000,pth_video_preview\GOOD_t00026.00_f0000780_pg1.000.jpg
26.200,786,1,1.0000,0.0000,
26.400,792,0,0.0001,0.9999,
26.600,798,0,0.0000,1.0000,
26.800,804,0,0.0000,1.0000,
27.000,810,0,0.0000,1.0000,
27.200,816,0,0.0007,0.9993,
27.400,822,0,0.0006,0.9994,
27.600,828,1,1.0000,0.0000,pth_video_preview\GOOD_t00027.60_f0000828_pg1.000.jpg
27.800,834,1,1.0000,0.0000,
28.000,840,1,0.9928,0.0072,
28.200,846,0,0.0094,0.9906,
28.400,852,0,0.0043,0.9957,
28.600,858,0,0.0008,0.9992,
28.800,864,0,0.0006,0.9994,
29.000,870,0,0.0002,0.9998,
29.200,876,0,0.0011,0.9989,
29.400,882,0,0.0073,0.9927,
29.600,888,0,0.0085,0.9915,
29.800,894,0,0.0044,0.9956,
30.000,900,0,0.0052,0.9948,
30.200,906,0,0.0055,0.9945,
30.400,912,0,0.0060,0.9940,
30.600,918,0,0.0062,0.9938,
30.800,924,0,0.0066,0.9934,
31.000,930,0,0.0063,0.9937,
31.200,936,0,0.0075,0.9925,
31.400,942,0,0.0063,0.9937,
31.600,948,0,0.0071,0.9929,
31.800,954,0,0.0075,0.9925,
32.000,960,0,0.0063,0.9937,
32.200,966,0,0.0055,0.9945,
32.400,972,0,0.0057,0.9943,
